answer_id,answer,course,year,attachments_files
156400,"Alexey
Should we use something non-standard there or can we just go with the usual things we learned in the course?
Hamed
You just need to test different strategies. Something I noticed – if you have so many parse subclasses in your categorical [inaudible], you should be careful about using one-hot encoding. You might say you can use ordinal encoding, if your data in nature had some order. It will be useful. In my particular data, I couldn't have domain knowledge. I didn't know what the subclasses were, so I couldn't decide which strategy I should choose. But if you have the domain knowledge, that’s the key here, I think.",Machine Learning Zoomcamp,2021,
634887,"No, I don't think there is anything you cannot use. I just want to ask you to document it, if there is something you use that is not a part of the course. For somebody who will be reviewing your project, it will be new information. So just give them some context and explain, “I used GridSearchCV because this is easier and this is what you can do.” Then you describe it, and you give your peers a chance to learn from what you’re doing. This way, they will not be lost and will be able to grade your homework. If you do that, you can use whatever you want. 
From the materials in the course, like if you use logistic regression, or rich regression, or XGBoost, or random forest, then you don't need to really go into details when documenting because I would expect that people understand that without much explanation. Maybe it's also a good idea if somebody, let's say, wants to use not XGBoost, but LightGBM, or CatBoost, which are different implementations of gradient boosting – you're free to use them in your project as well. You can use FastAPI instead of Flask, for example. You can use Poetry instead of Pipenv. You can use Conda instead of Pipenv. You're basically free to explore to use what you want and play with different tools, just be sure to document that.",Machine Learning Zoomcamp,2021,
954016,"Alexey
Yes, you will be. You can submit the project. As we promised at the very beginning, we will give certificates based on project completion, not based on the homework. So if you're catching up right now, and you didn't do all the homework, it's fine. If you are caught up and you know what to do, you can take part in a project.",Data Engineering Zoomcamp,2022,
3699,"Alexey
I think the question refers to the homework form where we asked you to submit your code. Here, you can just create a repo in GitHub, create a folder there, homework 1, put your SQL files there, and just leave a link to this file when you submit. It can be anything else. If you are more of a GitLab kind of person, you can create a report in GitLab. But it should be something publicly accessible. Put your SQL queries there and submit it with the form.",Data Engineering Zoomcamp,2022,
858915,"Dmitry
It's fine, because this is the showcase purpose. We said to optimize the number of books, for example, the validation steps. Also, the architecture can be a bit changed. For sure, we can create a much better model.
Alexey
For this model, I guess, if we wanted to build a cat vs dog classifier that works well, we would use a pre-trained neural network and fine tune it, right?
Dmitry
Yeah. That’s one of the options.
Alexey
Or just get a lot of different pictures of cats and dogs and train from scratch. Are there any other options?
Dmitry
Other options would be  to try to tweak the parameters and all those things.
Alexey
So you think you can train a model from scratch – the one we had – without using a pre-trained neural network and then have a decent accuracy?
Dmitry
Yeah, but it's also the question of what “decent” is. 
Alexey
At least 80%, for example.
Dmitry
Around 80, I think yes. But we need to remember that the pretrained will always have the benefit.
Alexey
If we think about this – right now, this model that we have, has an accuracy of 65% on validation, which is just slightly better than a random guess. Well, it's not slightly better, but it's 10-15% better. There are chances that, you pick a few random images and in both of these cases, it will be incorrect just because it's 65%. Right? 
Dmitry
Yeah, but we didn't do any…
Alexey
Yeah, I'm just saying why this can happen. This could be the reason – 65% is not the best accuracy in the world.",Machine Learning Zoomcamp,2021,
830918,"Alexey
I guess the question is asking about the difference between what we are doing here in the course and the actual work of a data engineer.
Victoria
More problems. [chuckles] More troubleshooting, probably.
Ankush
I think the course is made in a way to set you up for becoming a data engineer or tackling all the problems of a data engineer. Mostly it will revolve around the technologies that we are talking about.
Alexey
So what are the main differences, except for more troubleshooting? I imagined that there are analysts who come to you or other people with ad hoc queries, saying, “Hey, where is this data? Where is this table?” And then you have to help them. What are the other main differences?
Ankush
I would say complexity. Definitely.
Alexey
Yeah, we have a relatively simple case, right? We only need to do one join. Well, two joins. We have a bunch of tables, but we don't need to join these big tables with each other. We only do a join with the location table, which is pretty small. But in practice, we often have two big tables that we need to join.
Victoria
Yeah, we don't have complex business logic. Plus, you don't really do the setup all the time. You set up BigQuery once and then you maintain it, but you probably won’t be dealing with the service account that much.
Alexey
Ideally, there may be a team who deals with that. For example, at our work, we have a team who manages Airflow, so I don't need to worry about this. All I do is just write DAGs, commit them, and that's it. I never had to set up Airflow locally and worry about these things because it's managed. I think it’s the same with the data warehouse and other things.
Ankush
I think one more thing that everybody with data does is basically communicate outwards what the meaning of different columns is or what this ratio is versus that ratio. All that. I have to personally do a lot of that. What's your experience like?
Victoria
I would say the same, especially for business stakeholders. But DBT also has this data catalog part. So in the data team that helps quite a lot. Also we look at and work on the selection of an actual data catalog. So hopefully, there’s not too many questions.
Alexey
In our case, for these questions we will have a catalog team. We have an internal catalog tool and they get all these questions, not data engineers.",Data Engineering Zoomcamp,2022,
243026,"Victoria
I think there's a lot. It's a little bit hard to get a data engineer, and that's also why I would assume there are a lot of openings, and you will have a lot of options. How can someone land a job? If you go to meetups or have contacts, that's probably a good way. Or just apply.
Sejal
I agree. Actually, there are plenty of data engineering openings. When I was a data engineer in my previous role, I used to get invitations for job interviews almost every week from recruiters. There's an abundance for this role in the market. Definitely try it out.
Alexey
Since you changed your title to ML engineer, do you now get fewer or more invitations? You don't get anything? 
Sejal
Oddly. [chuckles] 
Alexey
[chuckles] Okay, so we see that being a data engineer is actually better, in terms of market demand.
Sejal
Yeah, I think engineering skills are way more in demand than data science and machine learning skills are.
Alexey
Yeah, that's interesting. What happened to “the sexiest job of the 21st century”? Nobody wants to hire them now. [chuckles] We had an interesting discussion in one of the podcasts here with Ellen. Ellen was a data scientist and she became a data engineer. She is from Berlin and I think she also talks about how to get a job as a data engineer in Berlin specifically. I think the recommendation was to talk to consulting companies. 
They have some sort of programs for coaching juniors, because the business model is to hire as many juniors as possible because they're cheap, and then you sell them to their client for a lot of money. So you need to have training programs so that the juniors are effective. Her recommendation was to try to find such a consultancy company and learn there. I hope it's an accurate summary of the episodes. Maybe I'm misinterpreting something.
Victoria
Yeah, I think if you come from a non-data background, and you're starting with the course and all that, just bear in mind that you'll have to apply a lot and there will probably be a lot of rejections. At least that's how it was for me at the very beginning when I moved to Berlin. Because everything was kind of new and all that, I didn't have a job at the time, because I just moved to Berlin and then looked for one. 
Try to get as many interviews as possible, and then do the challenges and all that. That will train you a lot and will also help you know where the benchmark is, kind of. But yeah, there are a lot of offers, so just start applying. Start applying, start talking to other people, probably to other data engineers, as well. That's also good. About the consultancy, I don't know. I've never used anything like that.
Alexey
I worked at an outsourcing company, but it was before I moved to Berlin. But I can confirm that in the company where I worked, they did have quite a good training process. They would have a coach that was assigned to me who would help me with everything. There was also some sort of bootcamp program. Then after that, they would try to sell me to a client and they would coach me on how to pass an interview with a client. Once a client likes me, I just start working. This is quite common, I think, in outsourcing and consulting companies. For me, that was a very long time ago, so I don't know how that actually works now. [chuckles]
Sejal
That's actually an interesting model. It's good that companies are actually putting that much effort into coaching the employees to be honed to certain projects. That's nice.
Alexey
Yeah, but the thing is, the business model is buying somebody for cheap and selling them for a lot of money and then taking the margin. So, unfortunately, sometimes (at least this was in my case) the salary was pretty low. I remember that they didn't have much left after paying for my flat. So be careful. [chuckles] But at least that was a good experience. After one year, I could sell this experience for “market standards,” let's say. So depending on how young you are, how much you want to get this experience, I think sometimes it's worth actually agreeing to a lower salary in exchange for experience. Then you get this experience, and then your value on the market becomes higher. 
Another shameless plug, but this is something we actually talked about with Juan Pablo. He suggested looking for small gigs that don't pay a lot, but this is experience you can sell afterwards. This is somewhat similar to what we mentioned, even though he's more into analytics than data engineering, but I think the tips that he shared when he was looking for a job – I think they're pretty universal. There was also a funny story that he was actually driving an Uber to be able to survive while he was trying to study things in order to switch. That's a cool one as well.",Data Engineering Zoomcamp,2022,
347048,"Let's say we have a two dimensional thing (2D) and we want to turn it into 1D. For this case, we need to use Pooling2D. I'm not sure right now and I want to quickly check it. This is the reason. Remember, when I was showing you how I usually go about defining the model? I build it sort of layer by layer and every time I add one more layer, I do a model that predicts to see what the output is. And then based on that, I see what kind of pooling layer, for example, I need. Let's say if we want to turn 2D into 1D, I think we need to use 2D pooling. I'm not exactly sure whether it's 2D or 1D. I think 1D pooling is needed when we have something one dimensional and we want to turn it into just one value, then we use 1D pooling. And then 3D pooling is when we have a three dimensional thing and we want to turn it into a one-dimensional thing. [image 2] These things always confuse me, to be honest. 
That's why I follow this step by step and then I just try different poolings. Then I want to make sure that, if I convert an image into a vector presentation, I have something one-dimensional. Usually the size is the number of images times something. So it's more like a 2D array. For each image, I have a one-dimensional vector. Then based on that, I try different poolings. Sometimes, you can also just flatten. Flatten takes whatever D – let's say you have KD – and you want to turn it into 1D, you use flatten. There are many different options. I think it's clear what the difference is. I might not remember exactly when to use 1D, 2D, and so on, but the difference is what kind of input they take and what kind of output they produce. If it's just a cube, then it's 2D, if it's a hypercube with three dimensions, that it's something else.",Machine Learning Zoomcamp,2021,85248_qa9_ml_zoomcamp_office_hours__week_11_pic2.jpg
772478,"Kind of. Actually, pickle expects that you have the code that, let's say, if your pickle and object are of a particular class. Let's say this class could be part of the package Scikit Learn linear (the class is logistic regression). When pickle loads an object, it expects that this class is present in your Python. It loads all these methods from that code – from that module. It expects that the code will be there and it just basically loads the data and the behavior is stored in the code. So you have to have the code.",Machine Learning Zoomcamp,2021,
934691,"I think in one of the videos, I talked about the three different subtypes of supervised learning, integration, classification, and tracking. About ranking – [image for reference] for regression, Let’s say you have a car and then we extract your feature matrix from the car. You apply the formula (the g function that you trained) and you get a prediction, like price. You do this for one object. You get one car and you do a prediction for one car. 
When it comes to ranking, you don't have one object. Of course, you can have multiple cars and apply this to multiple cars. But the core difference with ranking is – in ranking, let's say you have some results from Google. So you have some query and you have some results from Google. There could be, let's say, results from 0 to 99. And you need to apply a function to each of the elements. This is a group. And you need to apply this model that you have (the model g) to each element of this group. Then it produces a ranked list. Let's say, you apply g(x0), and you apply g(x99) this x99 is the row here – the results of the query. Then what you do is rerank the output – you rerank all these results using this function. 
What I'm trying to say is, here, you look at the group and you try to see how good the ranking is within the group. While in the case of simple regression, you have more standalone objects, sort of. But with ranking, it always has to be a group. Of course, when it comes to ranking, this g can also be a regression or it can also be classification. But then you always need to think about the other elements in the group. I hope that answers the question. 
This is not something we will go into detail about – not in this course, for sure. This is just for you to know that it's a little bit different. Maybe this is something you want to do for your project or explore for the article. This is totally fine.",Machine Learning Zoomcamp,2021,966609_qa6_01.jpg
